text,intent
Help me make a scatter plot,bivariate_plot
Plot box plot for me,bivariate_plot
Design box plot,bivariate_plot
Give me a pair plot,bivariate_plot
Present the pair plot,bivariate_plot
Draw Pie plot,multi_variate_plot
Desgin Pie plot,multi_variate_plot
Pie plot,multi_variate_plot
Violin plot,multi_variate_plot
Word Count,multi_variate_plot
Venn Diagram,multi_variate_plot
Violin Plot,multi_variate_plot
Count the word count for me,multi_variate_plot
Complete the pie plot,multi_variate_plot
Draw the violin plot for the given data,multi_variate_plot
Design the venn diagram,multi_variate_plot
Make a pie plot,multi_variate_plot
What is the code for pie plot,multi_variate_plot
How to make a pie plot,multi_variate_plot
Give me a pie plot,multi_variate_plot
Present the word count,multi_variate_plot
Do word count,multi_variate_plot
Do scatter plot,multi_variate_plot
Simple Linear Regression,regression
Linear Regression,regression
Perform Linear Regression,regression
Demonstrate Linear Regression,regression
Execute Linear Regression,regression
Perform Simple Linear Regression,regression
Demonstrate Simple Linear Regression,regression
Multiple Linear Regression,regression
Design linear regression for the given dataset,regression
Polynomial Linear Regression,regression
Perform Polynomial Linear Regression,regression
Demonstrate Polynomial Linear Regression,regression
Decision Tree Regression,regression
Random Forest Regression,regression
Regression models,regression
Lasso regression,regression
Kernel Ridge Regression,regression
Bayesian Ridge,regression
Elastic Net Regression,regression
Huber Regressor,regression
All regression models,regression
Code for all Regression models,regression
Perform Random Forest Regression,regression
Demonstrate Random Forest Regression,regression
Execute Random Forest Regression,regression
How to do linear regression,regression
Do linear regression,regression
Give linear regression,regression
Complete linear regression,regression
Code for random forest scikit learn,regression
Logistic regression,classification
Support vector Machine,classification
K nearest Neighbour Algorithm,classification
Perceptron,classification
Naive bayes algorithm,classification
Decision tree classification,classification
Random forest classification,classification
AdaBoost Classifier,classification
Passive Aggressive Classifier,classification
Bagging Classifier,classification
Voting Classifier,classification
Extra Trees Classifier,classification
All classification models,classification
Code for all classification models,classification
Classification models,classification
Extreme gradient boosting,boosting_algo
Cat Boost,boosting_algo
Gradient boosting algorithm,boosting_algo
Light gradient boosting machine algorithm,boosting_algo
Stochastic Gradient Descent,boosting_algo
Code for extreme gradient boosting algo,boosting_algo
Cat boost code,boosting_algo
Give me code for cat boost algo,boosting_algo
Demonstrating light gradient boosting machine algorithm,boosting_algo
Performing extreme gradient boost algorithm,boosting_algo
extreme gradient boost algorithm code,boosting_algo
Classification Report,classify_eval
Confusion Matrix,classify_eval
Code for classification report,classify_eval
F1 score,classify_eval
Classification eval,classify_eval
Class eval,classify_eval
Sensitivity and specificity,classify_eval
ROC curve,classify_eval
AUC curve,classify_eval
Accuracy,classify_eval
Predicted Percentage,classify_eval
Error Percentage,classify_eval
True Positive,classify_eval
True Negative,classify_eval
False Positive,classify_eval
False Negative,classify_eval
Correct Prediction,classify_eval
Incorrect Prediction,classify_eval
Classified Percentage,classify_eval
Misclassified Percentage,classify_eval
Dropdown_class prediction,classify_eval
Type-1 error,classify_eval
Type-2 error,classify_eval
Positive Prediction,classify_eval
Negative prediction,classify_eval
True positive rate,classify_eval
code for Actual Value/Predicted Value,classify_eval
receiver operating characteristics,classify_eval
area under the curve,classify_eval
Threshold value,classify_eval
sciket learn code for K-fold cross-validation,classify_eval
Classification Error,classify_eval
Misclassification Rate,classify_eval
sklearn code for Predict_proba,classify_eval
Average classification accuracy,classify_eval
Give the Classification Report,classify_eval
Give the Positive Prediction,classify_eval
Give the Negative prediction,classify_eval
Give the True positive rate,classify_eval
Show Code for classification report,classify_eval
Show F1 score,classify_eval
Show Classification eval,classify_eval
Work out the Classification Report,classify_eval
sciket -learn code for the Confusion Matrix,classify_eval
provide Code for classification report,classify_eval
Work out the F1 score,classify_eval
demonstrate eval for classification,classify_eval
code for AUC curve,classify_eval
Work out the Accuracy,classify_eval
code to Predicted Percentage,classify_eval
code for area under the curve,classify_eval
Work out the Threshold value,classify_eval
give me code for K-fold cross-validation,classify_eval
print Classification Report,classify_eval
Displaying Confusion Matrix,classify_eval
Write Code for classification report,classify_eval
Display F1 score,classify_eval
Display Classification eval,classify_eval
Display Class eval,classify_eval
Display Sensitivity and specificity,classify_eval
Perform the Type-1 error,classify_eval
skelarn code for accuracy,classify_eval
classification report sklearn code,classify_eval
regression eval code ,classify_eval
regressor eval code output,classify_eval
