text,intent
count the word count for me,multi_variate_plot
complete the pie plot,multi_variate_plot
draw the violin plot for the given data,multi_variate_plot
design the venn diagram,multi_variate_plot
make a pie plot,multi_variate_plot
what is the code for pie plot,multi_variate_plot
how to make a pie plot,multi_variate_plot
give me a pie plot,multi_variate_plot
present the word count,multi_variate_plot
do word count,multi_variate_plot
do scatter plot,multi_variate_plot
simple linear regression,regression
linear regression,regression
perform linear regression,regression
demonstrate linear regression,regression
execute linear regression,regression
perform simple linear regression,regression
demonstrate simple linear regression,regression
multiple linear regression,regression
design linear regression for the given dataset,regression
polynomial linear regression,regression
perform polynomial linear regression,regression
demonstrate polynomial linear regression,regression
decision tree regression,regression
random forest regression,regression
regression models,regression
lasso regression,regression
kernel ridge regression,regression
bayesian ridge,regression
elastic net regression,regression
huber regressor,regression
all regression models,regression
code for all regression models,regression
perform random forest regression,regression
demonstrate random forest regression,regression
execute random forest regression,regression
how to do linear regression,regression
do linear regression,regression
give linear regression,regression
complete linear regression,regression
code for random forest scikit learn,regression
logistic regression,classification
support vector machine,classification
k nearest neighbour algorithm,classification
perceptron,classification
naive bayes algorithm,classification
decision tree classification,classification
random forest classification,classification
adaboost classifier,classification
passive aggressive classifier,classification
bagging classifier,classification
voting classifier,classification
extra trees classifier,classification
all classification models,classification
code for all classification models,classification
classification models,classification
extreme gradient boosting,boosting_algo
cat boost,boosting_algo
gradient boosting algorithm,boosting_algo
light gradient boosting machine algorithm,boosting_algo
stochastic gradient descent,boosting_algo
code for extreme gradient boosting algo,boosting_algo
cat boost code,boosting_algo
give me code for cat boost algo,boosting_algo
demonstrating light gradient boosting machine algorithm,boosting_algo
performing extreme gradient boost algorithm,boosting_algo
extreme gradient boost algorithm code,boosting_algo
classification report,classify_eval
confusion matrix,classify_eval
code for classification report,classify_eval
f1 score,classify_eval
classification eval,classify_eval
class eval,classify_eval
sensitivity and specificity,classify_eval
roc curve,classify_eval
auc curve,classify_eval
accuracy,classify_eval
predicted percentage,classify_eval
error percentage,classify_eval
true positive,classify_eval
true negative,classify_eval
false positive,classify_eval
false negative,classify_eval
correct prediction,classify_eval
incorrect prediction,classify_eval
classified percentage,classify_eval
misclassified percentage,classify_eval
dropdownclass prediction,classify_eval
type1 error,classify_eval
type2 error,classify_eval
positive prediction,classify_eval
negative prediction,classify_eval
true positive rate,classify_eval
code for actual valuepredicted value,classify_eval
receiver operating characteristics,classify_eval
area under the curve,classify_eval
threshold value,classify_eval
sciket learn code for kfold crossvalidation,classify_eval
classification error,classify_eval
misclassification rate,classify_eval
sklearn code for predictproba,classify_eval
average classification accuracy,classify_eval
give the classification report,classify_eval
give the positive prediction,classify_eval
give the negative prediction,classify_eval
give the true positive rate,classify_eval
show code for classification report,classify_eval
show f1 score,classify_eval
show classification eval,classify_eval
work out the classification report,classify_eval
sciket learn code for the confusion matrix,classify_eval
provide code for classification report,classify_eval
work out the f1 score,classify_eval
demonstrate eval for classification,classify_eval
code for auc curve,classify_eval
work out the accuracy,classify_eval
code to predicted percentage,classify_eval
code for area under the curve,classify_eval
work out the threshold value,classify_eval
give me code for kfold crossvalidation,classify_eval
print classification report,classify_eval
displaying confusion matrix,classify_eval
write code for classification report,classify_eval
display f1 score,classify_eval
display classification eval,classify_eval
display class eval,classify_eval
display sensitivity and specificity,classify_eval
perform the type1 error,classify_eval
skelarn code for accuracy,classify_eval
classification report sklearn code,classify_eval
regression eval code,classify_eval
regressor eval code output,classify_eval
